Country,Local Currency,Price (Local Cents),Conversion Factor,Price (USD Cents),Price (USD)
Turkey,TRY,990,0.053803,53.26497,0.53
Ukraine,UAH,3599,0.027083,97.471717,0.97
India,INR,11000,0.012115,133.26500000000001,1.33
Belarus,BYN,349,0.394301,137.611049,1.38
Azerbaijan,USD,149,1,149,1.49
Bhutan,USD,149,1,149,1.49
Kyrgyz Republic,USD,149,1,149,1.49
Lao PDR,USD,149,1,149,1.49
Mongolia,USD,149,1,149,1.49
Myanmar,USD,149,1,149,1.49
Nepal,USD,149,1,149,1.49
Pakistan,USD,149,1,149,1.49
Sri Lanka,USD,149,1,149,1.49
Syria,USD,149,1,149,1.49
Tajikistan,USD,149,1,149,1.49
Uzbekistan,USD,149,1,149,1.49
Vietnam,USD,149,1,149,1.49
Nicaragua,USD,149,1,149,1.49
Algeria,USD,149,1,149,1.49
Burkina Faso,USD,149,1,149,1.49
Burundi,USD,149,1,149,1.49
Egypt,USD,149,1,149,1.49
"Gambia, The",USD,149,1,149,1.49
Iran,USD,149,1,149,1.49
Macedonia,USD,149,1,149,1.49
Madagascar,USD,149,1,149,1.49
Mauritania,USD,149,1,149,1.49
Rwanda,USD,149,1,149,1.49
Sierra Leone,USD,149,1,149,1.49
Tunisia,USD,149,1,149,1.49
Zambia,USD,149,1,149,1.49
Armenia,USD,149,1,149,1.49
Georgia,USD,149,1,149,1.49
Moldova,USD,149,1,149,1.49
Brazil,BRL,790,0.193689,153.01431,1.53
Malaysia,MYR,799,0.211238,168.779162,1.69
Philippines,PHP,10000,0.016939,169.39,1.69
Thailand,THB,6900,0.02659,183.471,1.83
South Africa,ZAR,3399,0.055274,187.87632599999998,1.88
Bangladesh,USD,199,1,199,1.99
Cambodia,USD,199,1,199,1.99
Fiji,USD,199,1,199,1.99
Indonesia,USD,199,1,199,1.99
Timor-Leste,USD,199,1,199,1.99
Argentina,USD,199,1,199,1.99
Bolivia,USD,199,1,199,1.99
Colombia,USD,199,1,199,1.99
Dominican Republic,USD,199,1,199,1.99
Haiti,USD,199,1,199,1.99
Honduras,USD,199,1,199,1.99
Paraguay,USD,199,1,199,1.99
Suriname,USD,199,1,199,1.99
Afghanistan,USD,199,1,199,1.99
Angola,USD,199,1,199,1.99
Benin,USD,199,1,199,1.99
Botswana,USD,199,1,199,1.99
Cameroon,USD,199,1,199,1.99
Chad,USD,199,1,199,1.99
Comoros,USD,199,1,199,1.99
Cote d'Ivoire,USD,199,1,199,1.99
Equatorial Guinea,USD,199,1,199,1.99
Eritrea,USD,199,1,199,1.99
Eswatini,USD,199,1,199,1.99
Ethiopia,USD,199,1,199,1.99
Ghana,USD,199,1,199,1.99
Guinea,USD,199,1,199,1.99
Guinea-Bissau,USD,199,1,199,1.99
Jordan,USD,199,1,199,1.99
Kazakhstan,USD,199,1,199,1.99
Kenya,USD,199,1,199,1.99
Lesotho,USD,199,1,199,1.99
Liberia,USD,199,1,199,1.99
Malawi,USD,199,1,199,1.99
Mali,USD,199,1,199,1.99
Morocco,USD,199,1,199,1.99
Mozambique,USD,199,1,199,1.99
Niger,USD,199,1,199,1.99
Senegal,USD,199,1,199,1.99
Tanzania,USD,199,1,199,1.99
Togo,USD,199,1,199,1.99
Uganda,USD,199,1,199,1.99
Yemen,USD,199,1,199,1.99
Albania,USD,199,1,199,1.99
Bosnia and Herzegovina,USD,199,1,199,1.99
Montenegro,USD,199,1,199,1.99
Serbia,USD,199,1,199,1.99
Russia,RUB,13000,0.016221,210.873,2.11
Peru,PEN,899,0.251233,225.858467,2.26
Saudi Arabia,SAR,899,0.266064,239.191536,2.39
Taiwan,TWD,7700,0.031162,239.9474,2.4
Mexico,MXN,4800,0.050201,240.96480000000003,2.41
